DEPTH;2515.1;;TILT;0;;VOS;5934.70;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;162.2;162.4;159.0;162.3;162.0;163.5;165.6;165.3
24;165.3;165.5;166.0;165.8;160.9;159.6;158.7;156.8
48;155.2;158.9;150.4;157.9;156.7;156.6;157.0;155.7
72;154.9;153.9;153.3;153.3;153.6;153.5;153.9;153.6
96;153.9;153.6;153.9;155.3;157.3;156.3;155.7;159.5
120;157.2;167.3;165.7;163.7;167.1;178.1;181.8;184.5
144;187.8;188.3;189.4;189.2;189.6;199.3;200.9;206.9
168;203.7;202.9;202.7;188.3;203.5;193.9;194.8;194.0
192;179.2;194.1;194.5;194.9;199.0;195.8;196.4;192.8
216;189.8;185.5;181.9;180.2;179.0;173.6;172.9;170.8
240;169.3;170.7;168.9;173.1;173.4;172.9;172.9;172.0
264;171.6;171.9;172.7;162.5;161.4;164.8;169.3;164.9
288;165.2;169.4;169.8;169.0;168.7;168.4;161.2;163.7
312;156.4;159.3;168.0;168.8;170.0;170.3;171.1;173.7
336;176.8;171.2;166.4;165.4;164.8;165.0;165.6;163.7

DEPTH;2516.8;;TILT;0;;VOS;5934.70;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;168.2;161.7;162.0;162.6;162.4;163.5;165.1;165.6
24;166.7;165.4;166.1;165.8;165.1;163.1;161.7;159.5
48;157.8;158.7;158.6;157.4;156.7;156.5;156.7;155.2
72;155.2;154.2;153.6;154.0;153.9;153.6;153.9;153.6
96;153.9;154.6;155.7;155.9;156.5;156.4;156.7;158.4
120;160.6;167.2;172.0;167.6;172.4;178.2;183.3;185.3
144;189.6;189.4;189.6;190.2;191.2;199.5;209.2;206.4
168;204.3;203.3;203.0;201.0;203.4;198.1;197.2;197.7
192;198.8;197.3;196.4;197.7;199.6;199.0;199.0;193.1
216;192.0;187.5;183.6;181.0;179.0;175.7;178.4;173.4
240;169.2;171.0;169.5;173.6;173.2;173.5;173.2;174.0
264;174.2;172.1;172.3;169.0;168.0;167.7;169.5;168.1
288;168.7;168.9;169.5;168.8;168.5;167.7;167.4;167.2
312;167.4;167.3;168.4;168.9;172.3;171.0;173.4;175.2
336;178.1;171.9;168.0;166.4;165.3;165.0;165.1;163.3

DEPTH;2519.0;;TILT;0;;VOS;5934.70;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;168.9;162.4;163.5;163.0;163.0;163.4;165.8;166.5
24;166.4;166.0;166.1;165.9;166.1;162.9;162.3;159.1
48;158.6;158.5;158.8;158.2;158.0;156.4;157.2;155.2
72;155.7;154.6;153.9;153.3;153.1;153.5;154.4;154.6
96;155.2;154.3;156.8;154.9;156.5;156.6;157.3;159.4
120;162.0;167.0;172.1;169.0;172.4;178.3;185.2;186.3
144;194.8;189.8;190.5;192.1;194.9;202.1;210.5;207.3
168;204.8;203.6;203.0;203.1;203.7;203.5;203.7;199.9
192;200.2;196.9;197.7;197.7;198.3;198.7;199.6;193.5
216;191.5;187.3;183.8;181.6;180.0;178.3;178.7;175.5
240;170.2;171.5;172.7;173.3;174.5;173.9;173.7;173.6
264;174.0;172.4;171.9;170.5;170.6;167.9;169.8;168.6
288;169.0;169.4;170.3;168.6;167.4;167.3;167.7;167.3
312;167.4;168.0;169.0;169.0;171.5;172.7;174.4;175.8
336;178.4;172.6;168.4;166.7;165.9;165.5;165.6;163.4

DEPTH;2529.0;;TILT;0;;VOS;5934.70;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;171.1;168.1;165.6;165.3;165.3;167.1;169.3;169.8
24;170.8;170.9;171.4;170.2;169.5;167.0;165.1;164.3
48;164.0;162.2;160.9;159.8;159.1;159.0;159.3;157.7
72;156.5;156.3;155.0;154.6;155.7;156.0;156.7;156.1
96;155.9;155.7;155.9;155.6;155.7;157.8;160.4;160.2
120;160.4;165.6;171.6;171.6;176.5;179.6;183.4;187.3
144;191.6;191.7;194.3;195.4;198.0;204.3;212.2;210.2
168;208.7;208.4;208.7;207.9;207.7;206.6;206.1;202.1
192;203.7;198.6;199.0;198.4;198.3;199.6;199.4;193.2
216;189.4;186.7;184.7;184.3;184.4;183.5;183.1;180.6
240;178.7;178.2;178.1;175.5;173.4;173.1;173.2;173.1
264;173.4;171.8;170.6;171.5;172.9;171.4;170.4;169.8
288;169.5;168.4;167.7;167.6;168.0;167.7;168.0;168.4
312;169.3;169.7;170.6;171.8;173.4;174.1;175.3;178.3
336;179.8;174.4;169.5;169.2;169.3;168.9;169.0;169.8

DEPTH;2539.1;;TILT;0;;VOS;5934.70;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;170.8;169.9;169.5;168.2;168.2;169.8;172.1;173.7
24;174.0;173.2;172.9;172.3;172.1;168.7;166.5;167.6
48;166.7;164.4;162.7;162.8;163.3;161.6;160.4;159.6
72;159.3;158.9;158.8;158.3;158.3;158.3;158.8;158.6
96;158.8;156.5;154.6;156.8;156.3;158.5;162.2;162.1
120;166.6;170.8;175.8;175.0;180.9;180.6;187.3;192.1
144;197.7;197.3;197.5;197.2;197.5;205.2;214.2;212.8
168;212.0;210.9;210.5;209.7;209.5;208.7;208.4;205.8
192;203.7;202.3;201.4;201.5;202.2;200.4;199.3;192.8
216;187.3;185.4;184.2;184.0;184.4;179.9;182.8;175.9
240;176.3;176.9;178.1;175.3;173.2;172.3;171.9;172.5
264;173.7;173.2;173.2;173.1;173.4;171.1;169.3;170.2
288;171.6;171.3;171.4;171.0;171.1;170.7;170.8;170.9
312;171.4;171.6;172.4;173.2;174.5;176.3;178.7;178.6
336;178.9;175.6;172.9;171.5;170.6;171.7;173.3;171.8

DEPTH;2549.0;;TILT;0;;VOS;5950.00;;
Bearing;+ 0;+ 3;+ 6;+ 9;+ 12;+ 15;+ 18;+ 21
0;172.0;171.0;170.5;170.5;171.0;170.9;175.9;173.0
24;175.2;175.7;176.7;175.0;173.7;171.9;170.5;169.6
48;169.2;167.1;165.5;164.3;163.5;163.1;163.2;161.9
72;163.1;160.5;160.5;159.8;159.5;160.8;162.5;162.3
96;162.5;159.3;156.7;157.4;158.5;160.2;162.5;167.5
120;173.2;173.1;177.1;178.8;181.0;185.0;189.5;193.2
144;198.5;199.2;200.5;200.0;200.0;208.5;218.5;217.0
168;216.2;213.8;212.0;211.8;212.2;211.8;207.1;204.9
192;203.7;204.2;205.2;203.9;203.2;196.9;197.0;193.7
216;186.7;185.2;184.2;184.1;184.5;180.3;176.7;176.5
240;176.7;176.5;176.7;174.5;172.7;172.0;171.7;172.6
264;174.0;173.0;172.5;171.7;171.5;171.7;172.5;172.1
288;172.2;171.6;171.5;171.6;172.2;172.3;172.7;172.6
312;173.0;172.9;173.2;174.3;175.9;177.9;180.5;180.3
336;180.9;177.1;173.7;173.6;174.0;174.4;175.2;173.4

DEPTH;2559.0;;TILT;0;;VOS;5950.00;;
